batch,records_seen,mse,mse_moving_avg_100
428,13696,3053.6116650332315,1923.8284958195209
429,13728,795.2872303695449,1926.5707256216274
430,13760,164.69288079350235,1922.8559892787616
431,13792,683.6445204813118,1925.6975429383358
432,13824,719.6712546670519,1924.4071519831775
433,13856,682.6331232163557,1922.731033952706
434,13888,644.1148495887912,1909.307801959215
435,13920,201.2662157069946,1902.9715652293498
436,13952,314.9857131909257,1903.1821663612093
437,13984,473.67217687736246,1905.6980251078721
438,14016,1172.5593404175174,1915.4162214934834
439,14048,483.2096484858509,1738.7263433018015
440,14080,391.48438064302115,1738.2424408477223
441,14112,271.29501119554624,1729.8992916377035
442,14144,289.8554006872537,1700.0463151125668
443,14176,761.8028661582749,1702.3918045572868
444,14208,107.3208304332003,1689.8444510670038
445,14240,3302.297937648324,1699.7084294969109
446,14272,564.1956054596212,1700.8027019969718
447,14304,726.48967611633,1659.927769240975
448,14336,633.5768674960943,1556.7556981320395
449,14368,140.36865965341488,1551.2129976050278
450,14400,742.3524056729723,1544.4185792072744
451,14432,6077.318110027208,1591.233834044403
452,14464,852.0262949302112,1587.1365496428702
453,14496,430.6230091045298,1581.4855161598198
454,14528,368.98090649895164,1581.6562910326788
455,14560,2356.0865757660613,1601.4730502897082
456,14592,602.8383103910837,1603.2799829576343
457,14624,291.50854301029926,1604.1363116393154
458,14656,907.7203052065676,1598.3118992727852
459,14688,1238.3251562349055,1578.6202444600408
460,14720,481.11129816420004,1578.9967319552004
461,14752,170.96454818008826,1570.1114406141503
462,14784,962.84390950572,1567.2053501949715
463,14816,387.36496080953424,1567.9217749272857
464,14848,1220.7868591202268,1573.688389988166
465,14880,122.02447242726055,1568.710864033539
466,14912,1151.482456222483,1575.2316845976327
467,14944,934.2474798477612,1563.5530201185527
468,14976,124.26508882303085,1562.0727100399254
469,15008,511.75770097020546,1414.327802558515
470,15040,417.2560357005648,1413.6657544210057
471,15072,1641.587001958991,1422.6869242859075
472,15104,351.3322082273948,1420.6199731266174
473,15136,118.69493837087543,1418.6902110257454
474,15168,266.95810491638287,1416.4094939014315
475,15200,652.0930965250506,1421.4292481068958
476,15232,349.1405535946879,1407.037305379088
477,15264,574.3288216441664,1398.990725493444
478,15296,340.13607423801693,1400.0921878688464
479,15328,2123.9132495211416,1405.1363983264173
480,15360,8725.345671668409,1440.0744881710734
481,15392,248.698654411506,1375.2693506371645
482,15424,212.74433265123213,1374.985365127987
483,15456,244.70807426144532,1369.0590762605739
484,15488,118.186259290499,1358.0518399922953
485,15520,50.198605815787,1356.7443890396175
486,15552,274.40111707732564,1345.0267027349666
487,15584,1606.438646977663,1350.6862233069523
488,15616,2306.0342179411196,1370.5741209677642
489,15648,5681.350867408907,1417.4757999771862
490,15680,368.56870384620476,1413.365698691347
491,15712,877.1871785875674,1400.1650047631344
492,15744,169.4557515362874,1395.82030236061
493,15776,486.0404031489303,1397.3451106221944
494,15808,961.489578647211,1403.992984517662
495,15840,327.3297317088239,1339.691285459214
496,15872,469.56924054993726,1342.4806182215723
497,15904,2591.2813670058204,1367.280623209832
498,15936,1046.6910581281813,1361.630768105796
499,15968,757.9750127134045,1255.6738090310782
500,16000,309.82836914784383,1250.9746905480108
501,16032,2215.5017425973942,1172.299484988279
502,16064,1128.565782748556,1176.5966238507253
503,16096,562.5838252366699,1178.2743216144172
504,16128,386.7722062648095,1179.271979302065
505,16160,1669.8651849487546,1191.8975096532192
506,16192,590.1790544031899,1183.4876394273736
507,16224,4045.7577282587604,1216.7134165289456
508,16256,1034.0334121571586,1218.951441180891
509,16288,569.5574599790729,1222.6986530973968
510,16320,8077.037571472469,1286.4377060766226
511,16352,2559.814737271439,1292.4986207214267
512,16384,578.1319881636795,1293.9855234358042
513,16416,631.446585173166,1295.8260184387589
514,16448,19094.49587519966,1481.3582875386096
515,16480,162.0082159946114,1471.4904722851634
516,16512,1157.6261272678134,1468.7988637135095
517,16544,149.65704823513065,1466.472368634495
518,16576,233.55912909988587,1445.424950431564
519,16608,2368.097148289826,1454.7008080986366
520,16640,538.9478575586935,1447.6747811072228
521,16672,1042.5395146247417,1456.2448215614697
522,16704,499.6278721967715,1233.2505672027517
523,16736,2562.5706261500104,1256.3605216687097
524,16768,1824.5447191471417,1267.9745853708475
525,16800,6931.473460600826,1322.1208082281573
526,16832,21915.490769341177,1538.7716066563607
527,16864,527.7332850427676,1542.3924609987835
528,16896,263.0332671218937,1514.4866770196702
529,16928,2432.7477590878043,1530.861282306853
530,16960,1755.9247267545725,1546.7736007664637
531,16992,23954.565789854467,1779.4828134601953
532,17024,1029.61475918805,1782.5822485054055
533,17056,769.9553015864976,1783.4554702891069
534,17088,490.6331296087974,1781.9206530893066
535,17120,295.3859428076923,1782.8618503603134
536,17152,429.0901963757344,1784.0028951921615
537,17184,273.76784377467726,1782.003851861135
538,17216,582.5705363412674,1776.1039638203724
539,17248,769.7884731716595,1778.9697520672305
540,17280,569.8417812917692,1780.7533260737182
541,17312,664.469219546034,1784.6850681572228
542,17344,14735.010566100433,1929.1366198113549
543,17376,325.876729816355,1924.7773584479355
544,17408,238.3206006613424,1926.0873561502167
545,17440,449.4484763739499,1897.5588615374731
546,17472,1356.5143480561342,1905.4820489634383
547,17504,1226.8722628883158,1910.485874831158
548,17536,1052.9433669785785,1914.679539825983
549,17568,1521.8554139752105,1928.4944073692006
550,17600,1523.9145488859285,1936.3100288013302
551,17632,2079.035332585104,1896.3272010269095
552,17664,3120.537153002661,1919.0123096076343
553,17696,1053.2353167045453,1925.238432683634
554,17728,193.4463062632649,1923.4830866812772
555,17760,652.5071008633437,1906.4472919322498
556,17792,697.870476219765,1907.3976135905368
557,17824,24515.55577505618,2149.6380859109954
558,17856,796.1119423449188,2148.5220022823787
559,17888,100.30252730605696,2137.1417759930905
560,17920,1779.5643744711115,2150.1263067561595
561,17952,123.75781850741666,2149.6542394594326
562,17984,701.0482661860452,2147.036283026236
563,18016,409.8524881198324,2147.261158299339
564,18048,308.24037500747687,2138.135693458212
565,18080,714.2694180619669,2144.058142914559
566,18112,8709.509239053996,2219.6384107428744
567,18144,518.2755476031357,2215.4786914204274
568,18176,150.55799642603984,2215.7416204964575
569,18208,294.85482890889125,2213.5725917758446
570,18240,638.3188655201571,2215.783220074041
571,18272,19568.10825145038,2395.048432568955
572,18304,2984.934478708002,2421.384455273761
573,18336,2965.1171643784896,2449.848677533837
574,18368,259.07172477611607,2449.769813732434
575,18400,231.18343420531366,2445.560717109237
576,18432,1178.5251429323218,2453.8545630026133
577,18464,305.01543454711333,2451.1614291316423
578,18496,278.03015260547784,2450.540369915317
579,18528,337.57879244062116,2432.6770253445115
580,18560,187.01444219800055,2347.293713049808
581,18592,1082.293361199701,2355.62966011769
582,18624,1848.309181504929,2371.9853086062267
583,18656,2031.1752043988947,2389.8499799076017
584,18688,1575.0893184724648,2404.4190104994213
585,18720,240.8448387791448,2406.3254728290544
586,18752,241.59399496278027,2405.9974016079095
587,18784,1485.0363214864592,2404.7833783529973
588,18816,178.8386040245438,2383.511422213831
589,18848,752.9084429548668,2334.226997969291
590,18880,405.5150260015111,2334.596461190844
591,18912,469.2780958324061,2330.5173703632922
592,18944,172.97156837803692,2330.5525285317094
593,18976,387.4662002037409,2329.566786502258
594,19008,872.0099010022714,2328.6719897258085
595,19040,423.7447870286094,2329.636140279006
596,19072,1323.2970933105332,2338.173418806612
597,19104,497.58943750296805,2317.2364995115836
598,19136,11911.110894853497,2425.8806978788366
599,19168,2703.604730693195,2445.336995058635
600,19200,475.52687797918077,2446.993980146948
601,19232,533.4933120679462,2430.173895841654
602,19264,613.3403354403251,2425.021641368571
603,19296,413.9078139483539,2423.534881255688
604,19328,1158.2778774307449,2431.2499379673473
605,19360,331.5985381077116,2417.867271498937
606,19392,271.6124336884385,2414.6816052917898
607,19424,528.6992568317166,2379.511020577519
