feature,value,avg_prediction
category,1.6410264857538888,17.54887331264264
category,2.4615391221116116,17.61631380919427
category,3.2820517584693345,17.734780112669302
category,4.102564394827057,17.91195279104115
category,4.92307703118478,18.156270305500836
category,5.743590564476617,18.47648510407729
category,6.56410320083434,18.88078498264606
category,7.3846158371920625,19.37531035791865
category,8.205128473549784,19.961997588477267
category,9.025642006841622,20.63591123696359
category,9.846154643199345,21.38261093108338
category,10.666667279557068,22.17650810245607
category,11.487180812848905,22.98129296724868
category,12.307693449206628,23.75318051732109
category,13.12820608556435,24.446733370380105
category,13.948718721922074,25.021831157943378
category,14.769231358279796,25.44969207002962
category,15.589744891571634,25.71619269536377
category,16.410256630995242,25.821865621293114
category,17.23077016428708,25.779226315967005
category,18.051283697578917,25.6087322323771
category,18.871795437002525,25.334677068111354
category,19.692308970294363,24.98183909010258
category,20.5128225035862,24.57321256501699
category,21.33333424300981,24.12873880658598
category,22.153847776301646,23.664818267789645
category,22.974361309593483,23.19434497309664
category,23.79487304901709,22.727030214773492
category,24.61538658230893,22.269854661087603
category,25.435898321732537,21.82756735759622
category,26.256411855024375,21.40314060728151
category,27.07692538831621,20.998186559991325
category,27.897436230805706,20.613295948649334
category,28.71795155796577,20.248315493481908
category,29.538463297389377,19.902584331592415
category,30.358978624549444,19.575092028881546
category,31.179490363973052,19.2646271325113
category,32.00000030952843,18.969867024554958
