label,batch,memory_mb,delta_from_start_mb
batch,513.0,390.2109375,71.2421875
batch,514.0,390.2109375,71.2421875
batch,515.0,390.2109375,71.2421875
batch,516.0,390.21875,71.25
batch,517.0,390.21875,71.25
batch,518.0,390.21875,71.25
batch,519.0,390.21875,71.25
batch,520.0,390.21875,71.25
batch,521.0,390.21875,71.25
batch,522.0,390.21875,71.25
batch,523.0,390.21875,71.25
batch,524.0,390.21875,71.25
batch,525.0,390.21875,71.25
batch,526.0,390.21875,71.25
batch,527.0,390.21875,71.25
batch,528.0,390.21875,71.25
batch,529.0,390.21875,71.25
batch,530.0,390.22265625,71.25390625
batch,531.0,390.22265625,71.25390625
batch,532.0,390.22265625,71.25390625
batch,533.0,390.22265625,71.25390625
batch,534.0,390.22265625,71.25390625
batch,535.0,390.22265625,71.25390625
batch,536.0,390.22265625,71.25390625
batch,537.0,390.22265625,71.25390625
batch,538.0,390.22265625,71.25390625
batch,539.0,390.22265625,71.25390625
batch,540.0,390.22265625,71.25390625
batch,541.0,390.22265625,71.25390625
batch,542.0,390.22265625,71.25390625
batch,543.0,390.22265625,71.25390625
batch,544.0,390.22265625,71.25390625
batch,545.0,390.22265625,71.25390625
batch,546.0,390.23046875,71.26171875
batch,547.0,390.23828125,71.26953125
batch,548.0,390.24609375,71.27734375
batch,549.0,390.24609375,71.27734375
batch,550.0,390.25,71.28125
batch,551.0,390.25,71.28125
batch,552.0,390.25,71.28125
batch,553.0,390.25,71.28125
batch,554.0,390.25390625,71.28515625
batch,555.0,390.25390625,71.28515625
batch,556.0,390.25390625,71.28515625
batch,557.0,390.25390625,71.28515625
batch,558.0,390.25390625,71.28515625
batch,559.0,390.25390625,71.28515625
batch,560.0,390.25390625,71.28515625
batch,561.0,390.25390625,71.28515625
batch,562.0,390.25390625,71.28515625
batch,563.0,390.265625,71.296875
batch,564.0,390.265625,71.296875
batch,565.0,390.265625,71.296875
batch,566.0,390.265625,71.296875
batch,567.0,390.265625,71.296875
batch,568.0,390.265625,71.296875
batch,569.0,390.265625,71.296875
batch,570.0,390.265625,71.296875
batch,571.0,390.265625,71.296875
batch,572.0,390.265625,71.296875
batch,573.0,390.265625,71.296875
batch,574.0,390.265625,71.296875
batch,575.0,390.265625,71.296875
batch,576.0,390.265625,71.296875
batch,577.0,390.26953125,71.30078125
batch,578.0,390.26953125,71.30078125
batch,579.0,390.2734375,71.3046875
batch,580.0,390.27734375,71.30859375
batch,581.0,390.27734375,71.30859375
batch,582.0,390.27734375,71.30859375
batch,583.0,390.27734375,71.30859375
batch,584.0,390.27734375,71.30859375
batch,585.0,390.27734375,71.30859375
batch,586.0,390.27734375,71.30859375
batch,587.0,390.27734375,71.30859375
batch,588.0,390.27734375,71.30859375
batch,589.0,390.27734375,71.30859375
batch,590.0,390.27734375,71.30859375
batch,591.0,390.28125,71.3125
batch,592.0,390.28125,71.3125
batch,593.0,390.28125,71.3125
batch,594.0,390.28515625,71.31640625
batch,595.0,390.28515625,71.31640625
batch,596.0,390.28515625,71.31640625
batch,597.0,390.28515625,71.31640625
batch,598.0,390.28515625,71.31640625
batch,599.0,390.28515625,71.31640625
batch,600.0,390.28515625,71.31640625
batch,601.0,390.28515625,71.31640625
batch,602.0,390.28515625,71.31640625
batch,603.0,390.28515625,71.31640625
batch,604.0,390.28515625,71.31640625
batch,605.0,390.28515625,71.31640625
batch,606.0,390.28515625,71.31640625
batch,607.0,390.28515625,71.31640625
batch,608.0,390.28515625,71.31640625
batch,609.0,390.28515625,71.31640625
batch,610.0,390.28515625,71.31640625
batch,611.0,390.2890625,71.3203125
batch,612.0,390.29296875,71.32421875
batch,613.0,390.29296875,71.32421875
batch,614.0,390.29296875,71.32421875
batch,615.0,390.29296875,71.32421875
batch,616.0,390.29296875,71.32421875
batch,617.0,390.29296875,71.32421875
batch,618.0,390.29296875,71.32421875
batch,619.0,390.29296875,71.32421875
batch,620.0,390.29296875,71.32421875
batch,621.0,390.29296875,71.32421875
batch,622.0,390.29296875,71.32421875
batch,623.0,390.29296875,71.32421875
batch,624.0,390.296875,71.328125
batch,625.0,390.296875,71.328125
batch,626.0,390.296875,71.328125
batch,627.0,390.296875,71.328125
batch,628.0,390.296875,71.328125
batch,629.0,390.296875,71.328125
batch,630.0,390.296875,71.328125
batch,631.0,390.296875,71.328125
batch,632.0,390.296875,71.328125
batch,633.0,390.30078125,71.33203125
batch,634.0,390.30078125,71.33203125
batch,635.0,390.30078125,71.33203125
batch,636.0,390.30078125,71.33203125
batch,637.0,390.30078125,71.33203125
batch,638.0,390.30078125,71.33203125
batch,639.0,390.30078125,71.33203125
batch,640.0,390.30078125,71.33203125
batch,641.0,390.3046875,71.3359375
batch,642.0,390.3046875,71.3359375
batch,643.0,390.30859375,71.33984375
batch,644.0,390.3125,71.34375
batch,645.0,390.3125,71.34375
batch,646.0,390.3125,71.34375
batch,647.0,390.3125,71.34375
batch,648.0,390.3125,71.34375
batch,649.0,390.3125,71.34375
batch,650.0,390.3125,71.34375
batch,651.0,390.3125,71.34375
batch,652.0,390.3125,71.34375
batch,653.0,390.3125,71.34375
batch,654.0,390.3125,71.34375
batch,655.0,390.3125,71.34375
batch,656.0,390.3125,71.34375
batch,657.0,390.31640625,71.34765625
batch,658.0,390.31640625,71.34765625
batch,659.0,390.31640625,71.34765625
batch,660.0,390.3203125,71.3515625
batch,661.0,390.3203125,71.3515625
batch,662.0,390.3203125,71.3515625
batch,663.0,390.3203125,71.3515625
batch,664.0,390.3203125,71.3515625
batch,665.0,390.3203125,71.3515625
batch,666.0,390.3203125,71.3515625
batch,667.0,390.3203125,71.3515625
batch,668.0,390.3203125,71.3515625
batch,669.0,390.3203125,71.3515625
batch,670.0,390.3203125,71.3515625
batch,671.0,390.3203125,71.3515625
batch,672.0,390.3203125,71.3515625
batch,673.0,390.3203125,71.3515625
batch,674.0,390.32421875,71.35546875
batch,675.0,390.328125,71.359375
batch,676.0,390.33203125,71.36328125
batch,677.0,390.33203125,71.36328125
batch,678.0,390.3359375,71.3671875
batch,679.0,390.3359375,71.3671875
batch,680.0,390.3359375,71.3671875
batch,681.0,390.3359375,71.3671875
batch,682.0,390.3359375,71.3671875
batch,683.0,390.3359375,71.3671875
batch,684.0,390.3359375,71.3671875
batch,685.0,390.3359375,71.3671875
batch,686.0,390.3359375,71.3671875
batch,687.0,390.33984375,71.37109375
batch,688.0,390.33984375,71.37109375
batch,689.0,390.33984375,71.37109375
batch,690.0,390.33984375,71.37109375
batch,691.0,390.34375,71.375
batch,692.0,390.34375,71.375
batch,693.0,390.34375,71.375
batch,694.0,390.34375,71.375
batch,695.0,390.34375,71.375
batch,696.0,390.34375,71.375
batch,697.0,390.34375,71.375
batch,698.0,390.34375,71.375
batch,699.0,390.34375,71.375
batch,700.0,390.34375,71.375
batch,701.0,390.34375,71.375
batch,702.0,390.34375,71.375
batch,703.0,390.34375,71.375
batch,704.0,390.34375,71.375
batch,705.0,390.34375,71.375
batch,706.0,390.34375,71.375
batch,707.0,390.35546875,71.38671875
batch,708.0,390.35546875,71.38671875
batch,709.0,390.35546875,71.38671875
batch,710.0,390.35546875,71.38671875
batch,711.0,390.35546875,71.38671875
batch,712.0,390.35546875,71.38671875
batch,713.0,390.35546875,71.38671875
batch,714.0,390.35546875,71.38671875
batch,715.0,390.35546875,71.38671875
batch,716.0,390.35546875,71.38671875
batch,717.0,390.35546875,71.38671875
batch,718.0,390.35546875,71.38671875
batch,719.0,390.35546875,71.38671875
batch,720.0,390.35546875,71.38671875
batch,721.0,390.35546875,71.38671875
batch,722.0,390.359375,71.390625
batch,723.0,390.359375,71.390625
batch,724.0,390.36328125,71.39453125
batch,725.0,390.36328125,71.39453125
batch,726.0,390.36328125,71.39453125
batch,727.0,390.36328125,71.39453125
batch,728.0,390.36328125,71.39453125
batch,729.0,390.36328125,71.39453125
